Agent_ID,Business_Name,Provider,State,Geo_Zone,LGA,Business_Category,Agent_Tier,KYC_Level,Terminal_Type,Registration_Date,Years_in_Business,Risk_Score,Average_Daily_Customers,Latitude,Longitude
AG000859,Ibrahim Inc,OPay,Lagos,South West,Lagos Industrial,Pharmacy,Bronze,Tier 2,Traditional POS,2023-04-20,1.7,89.3,33,6.524843,3.404651
AG000860,Abiola Ltd,Moniepoint,Lagos,South West,Lagos West,Mobile Agent,Bronze,Tier 2,Android POS,2023-04-06,1.7,44.8,34,6.592002,3.48417
AG000861,"Oshodi, Balogun and Adeyemi",PalmPay,Lagos,South West,Lagos Zone 15,Provision Store,Silver,Tier 1,Traditional POS,2024-11-25,0.1,73.2,48,6.606254,3.343617
AG000862,Balogun PLC,OPay,Lagos,South West,Lagos Central,Provision Store,Bronze,Tier 3,Traditional POS,2018-11-21,6.1,39.5,23,6.60427,3.411434
AG000863,"Adeyemi, Obi and Ogunleye",OPay,Lagos,South West,Lagos Central,Standalone POS Kiosk,Bronze,Tier 3,Traditional POS,2020-11-14,4.1,28.5,22,6.560552,3.278555
AG000864,Abiola PLC,OPay,Lagos,South West,Lagos Urban,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2019-09-05,5.3,49.3,28,6.536309,3.337161
AG000865,Adetokunbo Inc,OPay,Lagos,South West,Lagos Zone 18,Fuel Station,Bronze,Tier 1,Android POS,2024-10-29,0.2,11.6,29,6.553428,3.377758
AG000866,Obi-Obasanjo,OPay,Lagos,South West,Lagos Zone 17,Supermarket,Gold,Tier 2,mPOS,2022-09-30,2.3,25.9,114,6.489028,3.489693
AG000867,Obasanjo Group,Moniepoint,Lagos,South West,Lagos East,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2021-03-26,3.8,7.9,37,6.628289,3.419196
AG000868,"Akinwale, Ogunleye and Adetokunbo",Moniepoint,Lagos,South West,Lagos Rural,Supermarket,Bronze,Tier 3,Traditional POS,2021-05-18,3.6,51.7,27,6.508758,3.430746
AG000869,"Eze, Olawale and Ibrahim",FirstMonie,Lagos,South West,Lagos East,Standalone POS Kiosk,Gold,Tier 2,Android POS,2018-07-15,6.5,25.6,89,6.591643,3.394774
AG000870,"Nnamani, Adeyemi and Chukwu",Paga,Lagos,South West,Lagos Rural,Supermarket,Gold,Tier 2,Android POS,2022-09-16,2.3,40.2,91,6.433801,3.331665
AG000871,Okafor-Olawale,OPay,Lagos,South West,Lagos Zone 20,Provision Store,Silver,Tier 2,Android POS,2023-02-16,1.9,21.6,38,6.528546,3.475481
AG000872,Oyekan-Oyekan,Moniepoint,Lagos,South West,Lagos South,Pharmacy,Silver,Tier 2,Android POS,2019-03-31,5.8,38.8,43,6.520211,3.491902
AG000873,"Adetokunbo, Ogunleye and Okonkwo",PalmPay,Lagos,South West,Lagos Zone 16,Market Stall,Gold,Tier 1,Android POS,2024-09-10,0.3,6.7,73,6.571696,3.366179
AG000874,"Balogun, Ekwueme and Oshodi",OPay,Lagos,South West,Lagos Zone 18,Fuel Station,Gold,Tier 3,Android POS,2018-03-09,6.8,26.1,100,6.459744,3.383394
AG000875,Nnamani PLC,Moniepoint,Lagos,South West,Lagos Zone 17,Standalone POS Kiosk,Bronze,Tier 1,Android POS,2024-06-13,0.6,7.6,24,6.547722,3.390453
AG000876,Ojo-Obi,Moniepoint,Lagos,South West,Lagos Rural,Standalone POS Kiosk,Bronze,Tier 2,mPOS,2019-08-12,5.4,75.6,28,6.449248,3.428985
AG000877,"Obasanjo, Adetokunbo and Olawale",PalmPay,Lagos,South West,Lagos Industrial,Standalone POS Kiosk,Silver,Tier 2,Traditional POS,2022-10-25,2.2,68.6,55,6.506275,3.349328
AG000878,"Uche, Okafor and Olawale",PalmPay,Lagos,South West,Lagos Central,Provision Store,Bronze,Tier 2,mPOS,2024-11-23,0.1,47.6,31,6.542353,3.445911
AG000879,Balogun and Sons,Moniepoint,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Gold,Tier 3,Android POS,2020-09-12,4.3,47.8,73,6.536157,3.322051
AG000880,Eze-Adetokunbo,Moniepoint,Lagos,South West,Lagos Zone 19,Standalone POS Kiosk,Platinum,Tier 3,mPOS,2022-09-03,2.3,6.8,147,6.471878,3.421506
AG000881,Nnamani-Chukwu,Moniepoint,Lagos,South West,Lagos Metro,Provision Store,Bronze,Tier 3,Android POS,2018-12-17,6.0,83.6,28,6.656233,3.391642
AG000882,Okonkwo LLC,PalmPay,Lagos,South West,Lagos Zone 17,Pharmacy,Silver,Tier 3,Traditional POS,2022-01-17,3.0,8.8,49,6.404596,3.345251
AG000883,Nnamani-Balogun,Moniepoint,Lagos,South West,Lagos South,Provision Store,Bronze,Tier 2,Android POS,2023-11-25,1.1,61.1,27,6.565338,3.356743
AG000884,Eze Inc,Moniepoint,Lagos,South West,Lagos Zone 18,Provision Store,Bronze,Tier 2,mPOS,2023-09-10,1.3,79.6,34,6.479957,3.371213
AG000885,Ojo Group,PalmPay,Lagos,South West,Lagos Zone 17,Standalone POS Kiosk,Silver,Tier 2,Android POS,2024-03-19,0.8,48.6,66,6.465388,3.357953
AG000886,"Akinwale, Ibrahim and Ojo",Moniepoint,Lagos,South West,Lagos Central,Market Stall,Gold,Tier 3,Android POS,2022-05-19,2.6,94.8,93,6.568351,3.331875
AG000887,Okonkwo Inc,PalmPay,Lagos,South West,Lagos Zone 16,Standalone POS Kiosk,Gold,Tier 3,Android POS,2018-06-28,6.5,48.0,99,6.616028,3.415609
AG000888,Akinwale-Olawale,Moniepoint,Lagos,South West,Lagos Zone 13,Supermarket,Bronze,Tier 2,mPOS,2022-03-10,2.8,7.6,22,6.492898,3.342492
AG000889,"Oyekan, Ogunleye and Adetokunbo",Moniepoint,Lagos,South West,Lagos Market,Standalone POS Kiosk,Bronze,Tier 2,mPOS,2018-03-08,6.8,13.0,31,6.607632,3.335202
AG000890,Uche Group,Moniepoint,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Gold,Tier 2,Android POS,2018-10-04,6.2,82.3,102,6.533505,3.327402
AG000891,Olawale-Akinwale,PalmPay,Lagos,South West,Lagos Zone 12,Pharmacy,Bronze,Tier 3,Android POS,2020-09-14,4.3,51.9,32,6.523298,3.513225
AG000892,Obasanjo PLC,FirstMonie,Lagos,South West,Lagos East,Standalone POS Kiosk,Silver,Tier 3,Android POS,2024-07-11,0.5,11.5,50,6.497229,3.442393
AG000893,Adetokunbo and Sons,FirstMonie,Lagos,South West,Lagos Zone 11,Pharmacy,Bronze,Tier 3,mPOS,2019-07-01,5.5,59.1,25,6.580459,3.29801
AG000894,Balogun LLC,OPay,Lagos,South West,Lagos North,Provision Store,Gold,Tier 2,mPOS,2021-12-14,3.1,49.4,114,6.527095,3.312887
AG000895,Oshodi-Eze,PalmPay,Lagos,South West,Lagos Zone 18,Electronics Shop,Gold,Tier 3,Traditional POS,2021-10-18,3.2,85.4,104,6.503899,3.363514
AG000896,Obi Group,Moniepoint,Lagos,South West,Lagos Metro,Restaurant,Platinum,Tier 3,mPOS,2023-03-19,1.8,53.8,163,6.556583,3.483067
AG000897,Ojo-Uche,Moniepoint,Lagos,South West,Lagos Zone 16,Fuel Station,Bronze,Tier 2,Traditional POS,2020-01-17,5.0,20.5,8,6.586242,3.341057
AG000898,Olawale-Nnamani,FirstMonie,Lagos,South West,Lagos West,Mobile Agent,Bronze,Tier 1,Android POS,2018-09-16,6.3,58.2,25,6.470514,3.396358
AG000899,Okafor-Oshodi,Moniepoint,Lagos,South West,Lagos Zone 15,Electronics Shop,Gold,Tier 2,Android POS,2018-06-01,6.6,42.6,87,6.536394,3.313144
AG000900,"Oyekan, Abiola and Ekwueme",Moniepoint,Lagos,South West,Lagos Industrial,Supermarket,Bronze,Tier 2,Traditional POS,2020-04-05,4.7,80.6,29,6.570451,3.355214
AG000901,Eze LLC,Moniepoint,Lagos,South West,Lagos North,Restaurant,Bronze,Tier 1,Android POS,2020-03-28,4.8,86.7,25,6.633687,3.309774
AG000902,Adetokunbo LLC,Moniepoint,Lagos,South West,Lagos North,Provision Store,Silver,Tier 2,Traditional POS,2021-07-16,3.5,73.4,46,6.570104,3.329848
AG000903,"Adetokunbo, Ogunleye and Ekwueme",Moniepoint,Lagos,South West,Lagos Industrial,Pharmacy,Bronze,Tier 2,mPOS,2023-10-13,1.2,27.7,26,6.59133,3.371687
AG000904,Ojo-Oyekan,OPay,Lagos,South West,Lagos Zone 13,Provision Store,Silver,Tier 2,mPOS,2024-02-03,0.9,87.0,54,6.503933,3.326394
AG000905,Uche LLC,OPay,Lagos,South West,Lagos Zone 16,Provision Store,Bronze,Tier 3,Android POS,2020-11-03,4.2,77.5,34,6.535855,3.399399
AG000906,"Abiola, Oshodi and Ogunleye",FirstMonie,Lagos,South West,Lagos North,Standalone POS Kiosk,Bronze,Tier 1,Android POS,2020-02-22,4.9,37.0,23,6.566224,3.325814
AG000907,Adetokunbo LLC,FirstMonie,Lagos,South West,Lagos Industrial,Standalone POS Kiosk,Gold,Tier 1,mPOS,2022-01-02,3.0,27.2,72,6.57729,3.394751
AG000908,Oshodi-Obasanjo,OPay,Lagos,South West,Lagos North,Supermarket,Bronze,Tier 2,Android POS,2021-09-21,3.3,8.2,21,6.481186,3.435981
AG000909,Ogunleye Group,Moniepoint,Lagos,South West,Lagos Market,Provision Store,Gold,Tier 2,Android POS,2019-05-25,5.6,15.9,79,6.571619,3.283533
AG000910,Adetokunbo-Nnamani,OPay,Lagos,South West,Lagos Zone 12,Pharmacy,Bronze,Tier 2,Traditional POS,2022-11-25,2.1,54.0,31,6.56852,3.430574
AG000911,Obasanjo and Sons,OPay,Lagos,South West,Lagos Zone 13,Pharmacy,Silver,Tier 3,Android POS,2022-12-07,2.1,57.4,69,6.500402,3.385623
AG000912,"Akinwale, Obi and Akinwale",Moniepoint,Lagos,South West,Lagos Zone 13,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2021-10-20,3.2,48.1,24,6.536504,3.336651
AG000913,Ekwueme Ltd,OPay,Lagos,South West,Lagos Metro,Fuel Station,Silver,Tier 3,Android POS,2023-07-26,1.4,44.2,46,6.499754,3.451365
AG000914,Ekwueme LLC,OPay,Lagos,South West,Lagos Zone 16,Fuel Station,Silver,Tier 2,Android POS,2022-02-13,2.9,82.2,36,6.516396,3.367029
AG000915,"Olawale, Ojo and Oshodi",OPay,Lagos,South West,Lagos Zone 17,Pharmacy,Bronze,Tier 3,Android POS,2020-12-28,4.0,61.7,28,6.560024,3.35535
AG000916,Uche and Sons,OPay,Lagos,South West,Lagos South,Market Stall,Bronze,Tier 3,mPOS,2022-10-05,2.2,86.2,32,6.531839,3.370637
AG000917,Eze-Ojo,Moniepoint,Lagos,South West,Lagos South,Mobile Agent,Bronze,Tier 2,Traditional POS,2022-10-30,2.2,11.8,16,6.541019,3.3829
AG000918,Olawale-Ekwueme,Paga,Lagos,South West,Lagos Zone 20,Electronics Shop,Bronze,Tier 2,Android POS,2020-01-10,5.0,27.9,28,6.545838,3.417723
AG000919,"Oshodi, Obasanjo and Adetokunbo",PalmPay,Lagos,South West,Lagos Zone 18,Supermarket,Silver,Tier 1,Android POS,2021-04-18,3.7,64.5,49,6.494765,3.36984
AG000920,"Ibrahim, Ojo and Akinwale",Moniepoint,Lagos,South West,Lagos Zone 11,Pharmacy,Bronze,Tier 3,Traditional POS,2019-02-25,5.9,83.2,32,6.605722,3.391002
AG000921,Nnamani Ltd,FirstMonie,Lagos,South West,Lagos South,Provision Store,Bronze,Tier 2,Android POS,2021-09-05,3.3,37.2,26,6.514108,3.420555
AG000922,"Oyekan, Olawale and Chukwu",OPay,Lagos,South West,Lagos Industrial,Mini Mart,Gold,Tier 2,mPOS,2021-06-09,3.6,52.3,72,6.530571,3.306289
AG000923,Nnamani and Sons,FirstMonie,Lagos,South West,Lagos Zone 15,Fuel Station,Silver,Tier 2,Android POS,2024-10-04,0.2,45.0,58,6.518541,3.419767
AG000924,"Oyekan, Adeyemi and Obasanjo",PalmPay,Lagos,South West,Lagos Zone 14,Supermarket,Bronze,Tier 3,Android POS,2019-11-14,5.1,90.1,32,6.536093,3.43745
AG000925,"Adetokunbo, Ogunleye and Ojo",OPay,Lagos,South West,Lagos Zone 15,Market Stall,Bronze,Tier 2,Android POS,2021-12-10,3.1,47.3,40,6.439102,3.485162
AG000926,Okonkwo Inc,Moniepoint,Lagos,South West,Lagos Zone 15,Standalone POS Kiosk,Bronze,Tier 2,Traditional POS,2018-06-23,6.5,13.9,20,6.521161,3.383847
AG000927,Okafor-Ibrahim,Moniepoint,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2024-11-23,0.1,21.9,29,6.571586,3.368995
AG000928,"Ibrahim, Akinwale and Obasanjo",OPay,Lagos,South West,Lagos Zone 14,Standalone POS Kiosk,Platinum,Tier 3,Android POS,2021-01-29,3.9,31.8,124,6.486082,3.375261
AG000929,"Obasanjo, Okafor and Ekwueme",PalmPay,Lagos,South West,Lagos North,Standalone POS Kiosk,Gold,Tier 3,Android POS,2018-11-04,6.2,92.1,97,6.534148,3.467284
AG000930,Adetokunbo-Ekwueme,Moniepoint,Lagos,South West,Lagos Zone 13,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2022-01-28,2.9,93.4,26,6.533804,3.336641
AG000931,"Obasanjo, Ibrahim and Eze",Moniepoint,Lagos,South West,Lagos Zone 17,Supermarket,Silver,Tier 2,Android POS,2019-10-18,5.2,89.6,37,6.547095,3.418131
AG000932,Okonkwo-Oshodi,FirstMonie,Lagos,South West,Lagos Central,Provision Store,Bronze,Tier 3,Traditional POS,2019-08-08,5.4,40.5,21,6.486879,3.271098
AG000933,Uche Group,Paga,Lagos,South West,Lagos Zone 20,Pharmacy,Bronze,Tier 2,mPOS,2022-11-30,2.1,37.8,31,6.594475,3.41168
AG000934,Chukwu Ltd,OPay,Lagos,South West,Lagos North,Standalone POS Kiosk,Silver,Tier 1,Android POS,2019-06-02,5.6,74.9,48,6.532026,3.301623
AG000935,Nnamani LLC,Moniepoint,Lagos,South West,Lagos South,Supermarket,Silver,Tier 3,mPOS,2020-08-24,4.4,43.4,51,6.522776,3.436136
AG000936,Ekwueme-Abiola,Moniepoint,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Silver,Tier 2,Android POS,2022-01-23,2.9,72.5,75,6.587733,3.330647
AG000937,"Oshodi, Nnamani and Oshodi",Moniepoint,Lagos,South West,Lagos Zone 13,Provision Store,Bronze,Tier 3,Android POS,2024-05-12,0.6,57.9,31,6.584851,3.366055
AG000938,Ekwueme Ltd,FirstMonie,Lagos,South West,Lagos North,Provision Store,Silver,Tier 2,Android POS,2024-10-14,0.2,23.2,33,6.57681,3.337291
AG000939,"Ekwueme, Ogunleye and Olawale",Moniepoint,Lagos,South West,Lagos West,Standalone POS Kiosk,Gold,Tier 3,Android POS,2023-01-17,2.0,70.0,98,6.548381,3.436651
AG000940,Adeyemi-Chukwu,OPay,Lagos,South West,Lagos Zone 12,Electronics Shop,Bronze,Tier 1,Android POS,2022-03-04,2.8,35.7,24,6.437162,3.326434
AG000941,Ogunleye Ltd,Moniepoint,Lagos,South West,Lagos Zone 15,Standalone POS Kiosk,Gold,Tier 2,mPOS,2018-11-11,6.1,74.9,81,6.452264,3.464928
AG000942,Obi Ltd,OPay,Lagos,South West,Lagos Zone 19,Standalone POS Kiosk,Gold,Tier 3,Traditional POS,2019-07-18,5.5,57.0,112,6.541004,3.411506
AG000943,Ibrahim and Sons,PalmPay,Lagos,South West,Lagos Zone 17,Provision Store,Bronze,Tier 2,Android POS,2022-02-12,2.9,7.3,28,6.620714,3.301518
AG000944,"Obi, Ogunleye and Akinwale",FirstMonie,Lagos,South West,Lagos Zone 13,Provision Store,Bronze,Tier 2,Android POS,2021-07-11,3.5,92.0,28,6.571547,3.388263
AG000945,Ekwueme-Okafor,Moniepoint,Lagos,South West,Lagos Market,Provision Store,Silver,Tier 3,Android POS,2020-10-19,4.2,16.6,50,6.55988,3.392549
AG000946,Obi-Obi,Moniepoint,Lagos,South West,Lagos East,Market Stall,Gold,Tier 1,Android POS,2018-04-17,6.7,38.7,111,6.585923,3.405574
AG000947,"Ojo, Adetokunbo and Okonkwo",Moniepoint,Lagos,South West,Lagos Metro,Supermarket,Bronze,Tier 3,Android POS,2023-08-07,1.4,90.5,30,6.585133,3.341473
AG000948,"Oyekan, Abiola and Ekwueme",FirstMonie,Lagos,South West,Lagos Zone 17,Standalone POS Kiosk,Silver,Tier 3,Android POS,2022-05-05,2.7,72.8,51,6.41161,3.40075
AG000949,"Ojo, Adetokunbo and Okonkwo",FirstMonie,Lagos,South West,Lagos Zone 18,Supermarket,Bronze,Tier 2,Android POS,2019-04-28,5.7,45.5,26,6.552244,3.332812
AG000950,"Abiola, Abiola and Balogun",OPay,Lagos,South West,Lagos Market,Provision Store,Platinum,Tier 1,Android POS,2020-12-02,4.1,59.0,172,6.621193,3.385993
AG000951,"Olawale, Obasanjo and Chukwu",OPay,Lagos,South West,Lagos Zone 15,Standalone POS Kiosk,Bronze,Tier 3,Android POS,2020-05-28,4.6,60.1,25,6.576806,3.358814
AG000952,"Obi, Nnamani and Ogunleye",PalmPay,Lagos,South West,Lagos Zone 20,Provision Store,Bronze,Tier 2,Traditional POS,2021-03-15,3.8,64.1,26,6.453333,3.466815
AG000953,Ekwueme Inc,Moniepoint,Lagos,South West,Lagos Zone 16,Provision Store,Silver,Tier 3,Android POS,2020-03-30,4.8,82.3,57,6.516059,3.502378
AG000954,Oshodi-Ibrahim,FirstMonie,Lagos,South West,Lagos East,Fuel Station,Bronze,Tier 2,Android POS,2019-07-10,5.5,7.3,27,6.484899,3.413841
AG000955,"Ogunleye, Oyekan and Adetokunbo",OPay,Lagos,South West,Lagos South,Provision Store,Gold,Tier 2,mPOS,2023-01-26,1.9,23.8,89,6.572447,3.36138
AG000956,"Adetokunbo, Obasanjo and Chukwu",OPay,Lagos,South West,Lagos Metro,Market Stall,Bronze,Tier 1,Android POS,2022-12-29,2.0,6.8,36,6.600171,3.436524
AG000957,Nnamani-Ekwueme,OPay,Lagos,South West,Lagos South,Standalone POS Kiosk,Bronze,Tier 2,Traditional POS,2021-08-02,3.4,25.1,31,6.493596,3.365051
AG000958,"Obi, Uche and Oyekan",Moniepoint,Lagos,South West,Lagos Zone 12,Supermarket,Silver,Tier 3,Android POS,2018-09-23,6.3,52.1,65,6.414254,3.368172
AG000959,"Olawale, Eze and Ogunleye",Moniepoint,Lagos,South West,Lagos Zone 18,Standalone POS Kiosk,Gold,Tier 1,Traditional POS,2024-01-30,0.9,40.2,78,6.552474,3.439005
AG000960,Okafor LLC,PalmPay,Lagos,South West,Lagos Industrial,Market Stall,Bronze,Tier 3,Android POS,2021-05-13,3.6,56.2,33,6.564222,3.462399
AG000961,Obi LLC,Moniepoint,Lagos,South West,Lagos Metro,Provision Store,Gold,Tier 2,Android POS,2019-12-15,5.1,64.4,100,6.564328,3.431906
AG000962,"Eze, Ibrahim and Adetokunbo",OPay,Lagos,South West,Lagos Zone 12,Market Stall,Silver,Tier 2,mPOS,2023-09-15,1.3,67.9,58,6.545575,3.298965
AG000963,Oyekan-Eze,Moniepoint,Lagos,South West,Lagos Rural,Standalone POS Kiosk,Silver,Tier 2,Android POS,2019-05-13,5.6,65.8,63,6.540759,3.389071
AG000964,"Adetokunbo, Ojo and Obi",OPay,Lagos,South West,Lagos Urban,Mini Mart,Silver,Tier 2,mPOS,2019-07-23,5.4,88.2,32,6.549927,3.389287
AG000965,Akinwale-Obi,Moniepoint,Lagos,South West,Lagos Rural,Mini Mart,Bronze,Tier 3,Android POS,2023-07-17,1.5,46.4,27,6.569686,3.322142
AG000966,"Obi, Oshodi and Uche",OPay,Lagos,South West,Lagos Central,Restaurant,Silver,Tier 1,Android POS,2022-01-18,3.0,5.2,57,6.604001,3.349813
AG000967,Obi LLC,PalmPay,Lagos,South West,Lagos Zone 18,Mini Mart,Gold,Tier 2,Android POS,2024-06-02,0.6,88.2,121,6.55758,3.335327
AG000968,Oyekan-Adeyemi,Moniepoint,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Silver,Tier 2,Android POS,2023-03-30,1.8,20.0,69,6.579786,3.40753
AG000969,Okonkwo-Oshodi,OPay,Lagos,South West,Lagos Zone 18,Provision Store,Platinum,Tier 2,mPOS,2019-06-16,5.6,72.9,183,6.48437,3.385101
AG000970,Abiola Group,OPay,Lagos,South West,Lagos Zone 20,Standalone POS Kiosk,Silver,Tier 3,Android POS,2018-12-20,6.0,9.1,34,6.539041,3.285178
AG000971,"Ibrahim, Oshodi and Ojo",PalmPay,Lagos,South West,Lagos South,Standalone POS Kiosk,Bronze,Tier 1,Traditional POS,2021-06-20,3.5,69.7,36,6.45028,3.4198
AG000972,"Oshodi, Ojo and Ekwueme",Paga,Lagos,South West,Lagos Zone 13,Provision Store,Silver,Tier 2,mPOS,2023-05-15,1.6,76.5,52,6.519434,3.365579
AG000973,Obi-Olawale,PalmPay,Lagos,South West,Lagos Zone 17,Standalone POS Kiosk,Silver,Tier 3,Traditional POS,2022-08-10,2.4,74.0,61,6.505625,3.446506
AG000974,"Okonkwo, Okafor and Uche",Moniepoint,Lagos,South West,Lagos Zone 14,Electronics Shop,Bronze,Tier 2,Android POS,2024-06-12,0.6,64.0,23,6.465022,3.408145
AG000975,Balogun and Sons,Moniepoint,Lagos,South West,Lagos South,Provision Store,Bronze,Tier 2,mPOS,2019-05-29,5.6,72.8,28,6.563391,3.459228
AG000976,"Uche, Obi and Ekwueme",Moniepoint,Lagos,South West,Lagos Zone 11,Provision Store,Bronze,Tier 2,Android POS,2018-10-31,6.2,70.0,25,6.507233,3.43631
AG000977,"Oshodi, Akinwale and Ibrahim",OPay,Lagos,South West,Lagos Zone 15,Restaurant,Bronze,Tier 3,Android POS,2023-03-24,1.8,55.7,35,6.466167,3.35445
AG000978,Obasanjo Inc,Moniepoint,Lagos,South West,Lagos Zone 17,Pharmacy,Gold,Tier 3,Traditional POS,2021-11-12,3.1,89.8,81,6.558365,3.343693
AG000979,Akinwale-Nnamani,OPay,Lagos,South West,Lagos West,Pharmacy,Bronze,Tier 2,Android POS,2024-03-08,0.8,38.1,28,6.510608,3.438797
AG000980,"Adeyemi, Ekwueme and Akinwale",OPay,Lagos,South West,Lagos Zone 19,Mini Mart,Bronze,Tier 1,Traditional POS,2020-01-16,5.0,65.5,26,6.483605,3.321515
AG000981,Ojo Inc,Moniepoint,Lagos,South West,Lagos West,Fuel Station,Gold,Tier 2,Android POS,2022-11-08,2.2,80.9,81,6.522916,3.388806
AG000982,"Okafor, Uche and Adeyemi",PalmPay,Lagos,South West,Lagos Zone 17,Mini Mart,Silver,Tier 2,Traditional POS,2018-08-15,6.4,92.9,55,6.510982,3.383265
AG000983,Balogun-Nnamani,Moniepoint,Lagos,South West,Lagos East,Market Stall,Silver,Tier 3,Traditional POS,2023-10-24,1.2,30.5,57,6.49195,3.44134
AG000984,Ekwueme Inc,Moniepoint,Lagos,South West,Lagos West,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2021-05-30,3.6,28.9,37,6.500066,3.42638
AG000985,Abiola Ltd,PalmPay,Lagos,South West,Lagos Metro,Mini Mart,Silver,Tier 2,Android POS,2019-10-26,5.2,86.1,69,6.554006,3.38149
AG000986,"Nnamani, Oyekan and Ojo",OPay,Lagos,South West,Lagos Zone 11,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2020-07-12,4.5,68.9,28,6.507212,3.385273
AG000987,Oyekan and Sons,PalmPay,Lagos,South West,Lagos Zone 12,Standalone POS Kiosk,Gold,Tier 2,Traditional POS,2023-10-27,1.2,10.9,70,6.424313,3.449996
AG000988,Abiola Inc,OPay,Lagos,South West,Lagos Industrial,Provision Store,Gold,Tier 2,Traditional POS,2018-11-20,6.1,89.8,87,6.503109,3.296343
AG000989,"Nnamani, Akinwale and Balogun",Moniepoint,Lagos,South West,Lagos Market,Supermarket,Gold,Tier 1,Traditional POS,2020-03-15,4.8,52.6,95,6.456094,3.373955
AG000990,"Akinwale, Obi and Ogunleye",FirstMonie,Lagos,South West,Lagos Zone 18,Standalone POS Kiosk,Bronze,Tier 3,Android POS,2021-01-29,3.9,43.3,34,6.552727,3.346777
AG000991,"Uche, Uche and Obasanjo",PalmPay,Lagos,South West,Lagos West,Provision Store,Silver,Tier 2,mPOS,2021-05-25,3.6,85.7,72,6.545848,3.36477
AG000992,Ibrahim-Chukwu,PalmPay,Lagos,South West,Lagos Zone 20,Standalone POS Kiosk,Platinum,Tier 2,mPOS,2023-12-26,1.0,29.7,186,6.477608,3.325405
AG000993,Ojo Inc,Moniepoint,Lagos,South West,Lagos South,Provision Store,Silver,Tier 3,mPOS,2023-08-21,1.4,88.9,44,6.555567,3.345016
AG000994,Eze-Eze,OPay,Lagos,South West,Lagos Metro,Supermarket,Bronze,Tier 1,Android POS,2024-08-21,0.4,32.0,25,6.561105,3.302315
AG000995,Eze Ltd,OPay,Lagos,South West,Lagos Zone 19,Fuel Station,Gold,Tier 2,Android POS,2019-09-24,5.3,90.3,91,6.538502,3.342312
AG000996,Okafor-Adetokunbo,Moniepoint,Lagos,South West,Lagos Metro,Supermarket,Silver,Tier 2,Traditional POS,2024-10-14,0.2,70.8,35,6.470013,3.373005
AG000997,Eze-Obasanjo,FirstMonie,Lagos,South West,Lagos Zone 11,Standalone POS Kiosk,Silver,Tier 2,Android POS,2024-04-27,0.7,7.1,44,6.530741,3.401071
AG000998,"Balogun, Ojo and Adetokunbo",Moniepoint,Lagos,South West,Lagos North,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2018-04-27,6.7,90.6,23,6.474974,3.491246
AG000999,Olawale-Olawale,Paga,Lagos,South West,Lagos South,Mini Mart,Bronze,Tier 2,Traditional POS,2018-07-06,6.5,44.8,27,6.54177,3.341666
AG001000,Ibrahim-Balogun,OPay,Lagos,South West,Lagos Zone 19,Standalone POS Kiosk,Silver,Tier 1,mPOS,2020-12-20,4.0,41.3,60,6.466253,3.361329
AG001001,"Nnamani, Ekwueme and Oshodi",Moniepoint,Lagos,South West,Lagos Urban,Market Stall,Bronze,Tier 2,mPOS,2024-06-01,0.6,40.3,29,6.512976,3.443868
AG001002,Obasanjo-Okonkwo,OPay,Lagos,South West,Lagos Zone 14,Standalone POS Kiosk,Bronze,Tier 3,Traditional POS,2024-12-06,0.1,58.1,30,6.504849,3.453174
AG001003,"Olawale, Ekwueme and Nnamani",FirstMonie,Lagos,South West,Lagos Central,Provision Store,Gold,Tier 2,Traditional POS,2023-08-02,1.4,36.5,99,6.521838,3.416021
AG001004,Akinwale Group,PalmPay,Lagos,South West,Lagos Zone 18,Market Stall,Bronze,Tier 2,Traditional POS,2021-04-01,3.8,47.0,24,6.490483,3.348493
AG001005,Ojo and Sons,PalmPay,Lagos,South West,Lagos Industrial,Fuel Station,Bronze,Tier 2,Traditional POS,2023-06-02,1.6,9.0,27,6.433735,3.372711
AG001006,Balogun-Ogunleye,PalmPay,Lagos,South West,Lagos Rural,Pharmacy,Bronze,Tier 2,Traditional POS,2022-07-22,2.4,27.8,27,6.56267,3.432871
AG001007,Ogunleye-Akinwale,PalmPay,Lagos,South West,Lagos Industrial,Supermarket,Bronze,Tier 1,Android POS,2023-02-01,1.9,80.6,26,6.5734,3.315329
AG001008,"Eze, Obasanjo and Oshodi",FirstMonie,Lagos,South West,Lagos South,Provision Store,Silver,Tier 2,Android POS,2018-09-03,6.3,42.5,58,6.439369,3.342463
AG001009,Adeyemi-Adeyemi,Moniepoint,Lagos,South West,Lagos Metro,Provision Store,Gold,Tier 3,Android POS,2022-12-06,2.1,89.8,79,6.568453,3.442767
